"No","Name","Storage","Package","Supplier"
1,"potassium bicarbonate","X001","500 g","Samchun"
2,"phosphorus pentachloride","X002","500 g","Lancaster"
3,"phthalic anhydride","X003","500 g","Aldrich"
4,"propionic acid","X004","500 mL","AJAX chemical"
5,"phthalic anhydride","X005","500 g","Aldrich"
6,"phenyl ether","X006","1 kg","Acros"
7,"polyphosphoric acid","X007","1 Kg","Aldrich"
8,"Phthalimide","X008","500 g","TCI"
9,"Phosphorus tribromide","X009","500 g","Aldrich"
10,"Phenol","X010","1 kg","D.S.P"
11,"p-Nitroaniline","X011","500 g","Wako"
12,"silver oxide","X012","500 g","Kojima"
13,"4-Nitrophenol","X013","250 g","Aldrich"
14,"Metanilic acid","X014","250 g","Aldrich"
15,"Piperidine","X015","500 ml","Lancaster"
16,"pivaloyl chloride","X016","500 ml","DaeJung"
17,"1-Methyl-4-imidazolecarboxylic Acid","X017","1 g","Ark Pharm"
18,"colchicine","X018","500mg","TCI"
19,"2-Amino-4-bromo-6-methylpyrimidine","X019","1 g","combi-blocks"
20,"Ethyl 3-pyridylacetate","X020","5 g","combi-blocks"
21,"3-Bromo-4-hydroxybenzyl alcohol","X021","1 g","OS-2018"
22,"1,6-Dioxaspiro[2.5]octane","X022","1 g","Ark pharm"
23,"6-Chloroimidazo[1,2-b]pyridazine","X023","5 g","Ark Pharm"
24,"2-Amino-5-chloro-3-fluoropyridine","X024","5 g","Fluorochem"
25,"2,6-Dimethylmorpholine","X025","25 g","alfa aesar"
26,"2-(Chloromethyl)pyrimidine, >95%","X026","5 g","Matrix scientific"
27,"5-Hydroxy-1-indanone","X027","5 g","TCI"
28,"6-Hydroxy-1-indanone","X028","5 g","TCI"
29,"5-bromo-1H,3H-pyrrolo[2,3-b]pyridin-2-one","X029","5 g","Combi-blocks"
30,"p-Toluenethiol","X030","25 g","TCI"
31,"3-Pyridinecarboxaldehyde","X031","25 ml","TCI"
32,"2-(Chloromethyl)pyrimidine, >95%","X032","5 g","Matrix scientific"
33,"Bis(tri-tert-butylphosphine)palladium(0)","X033","5 g","fluorochem"
